# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 702
0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0 000002_9223372199154788468_1768981867461490118_cam0_p+0_y+30_r+0.jpg

63 0.9664685314332202 -0.08137856286909409 0.1389230731579358 0.20004121325124577 1.2948108666167295 -0.06585087881387612 0.23585846623976287 63 000080_9223372203004787178_1768981871358583275_cam0_p+0_y+30_r+0.jpg

64 0.9105464198886317 -0.2696572593090194 -0.12997091141971984 0.28512758883466705 1.3167046740754245 -0.06687846094938532 0.20278655000757567 64 000080_9223372203004787178_1768981871358583275_cam0_p+30_y+0_r+0.jpg

65 0.8746728705073965 -0.34973151228044674 0.30088596254501426 0.14867036173946405 1.2797193590761708 -0.07688007587277201 0.2592180170743472 65 000080_9223372203004787178_1768981871358583275_cam0_p-30_y+0_r+0.jpg

66 0.9677039208090644 -0.08607131975555361 0.10190165154812064 0.21390863231311333 1.37282291415857 -0.054849132810905546 0.28183289428851976 66 000083_9223372203154786512_1768981871510052888_cam0_p+0_y+30_r+0.jpg

67 0.9034156776181252 -0.27260348431396797 -0.16907483598893117 0.28450158806056536 1.4075486343691692 -0.05949129668414527 0.25024759259092294 67 000083_9223372203154786512_1768981871510052888_cam0_p+30_y+0_r+0.jpg

68 0.8861286411636443 -0.3558892616778241 0.2536617023521327 0.15419016016498785 1.3637963256245658 -0.06999484037796216 0.3223873683403496 68 000083_9223372203154786512_1768981871510052888_cam0_p-30_y+0_r+0.jpg

69 0.9775292896083143 -0.1099338573391929 0.0077070072734099935 0.17969873958177304 1.5498575312634921 -0.006767207456344862 0.5782352372929833 69 000092_9223372203654785262_1768981871960900087_cam0_p+0_y+30_r+0.jpg

70 0.8935444253213921 -0.30218109071371974 -0.23746366350970555 0.23211194907776508 1.5730151704046496 -0.029417352177028816 0.4857643170137761 70 000092_9223372203654785262_1768981871960900087_cam0_p+30_y+0_r+0.jpg

71 0.9053099099454774 -0.3682544539672039 0.18682524912575874 0.09949346901644333 1.5181279050751837 -0.008729447757597875 0.5856494937955924 71 000092_9223372203654785262_1768981871960900087_cam0_p-30_y+0_r+0.jpg

72 0.9837959174031451 -0.07218429648404719 -0.012287837810520334 0.16365826983061302 1.5910976714057983 -0.019701634675338434 0.6779099450455891 72 000095_9223372203804789137_1768981872111056194_cam0_p+0_y+30_r+0.jpg

73 0.903077008011402 -0.27948624217005924 -0.2583105826357737 0.19903517512540414 1.6113393987085705 -0.04557830462202975 0.5790558601643532 73 000095_9223372203804789137_1768981872111056194_cam0_p+30_y+0_r+0.jpg

74 0.9231858467516207 -0.32986781149170163 0.17669766604159587 0.08771005708937298 1.5597709187419075 -0.029791406437396195 0.6985659189019916 74 000095_9223372203804789137_1768981872111056194_cam0_p-30_y+0_r+0.jpg

75 0.9853741458431788 -0.04075778021984298 -0.052378242656728115 0.1569494050691797 1.638070605415651 -0.019053905080904716 0.7884218201491353 75 000098_9223372203954787720_1768981872260910675_cam0_p+0_y+30_r+0.jpg

76 0.9053961492457029 -0.25366986285880033 -0.2914445634703123 0.17598147638842407 1.6612873793487497 -0.04345571556871686 0.6742768436090062 76 000098_9223372203954787720_1768981872260910675_cam0_p+30_y+0_r+0.jpg

77 0.938320710291782 -0.30182063044559804 0.14621471312950435 0.08414160290488888 1.6016110268901738 -0.037886108144055686 0.8107567156162938 77 000098_9223372203954787720_1768981872260910675_cam0_p-30_y+0_r+0.jpg

78 0.9385658692773998 -0.3013773121223502 0.14524716388622425 0.08467045617259063 1.6014898303312606 -0.03800356821341411 0.8109649906870476 78 000098_9223372203954787720_1768981872260910675_cam0_p+0_y+30_r+0.jpg

79 0.8410050989660102 -0.48555532396661794 -0.07098833993451589 0.22783131144376473 1.6040494232897236 -0.036653662467647924 0.812158145019369 79 000098_9223372203954787720_1768981872260910675_cam0_p+30_y+0_r+0.jpg

80 0.7890956634001492 -0.5150030855136215 0.33357125095394213 -0.028811047387239705 1.598774107998131 -0.03523588759575369 0.8132000213163675 80 000098_9223372203954787720_1768981872260910675_cam0_p-30_y+0_r+0.jpg

81 0.9482874917133737 -0.2890992618661683 0.10378304683666384 0.08000955591486303 1.6126008152991287 -0.032358950182242885 0.8161121885249957 81 000101_9223372204054786721_1768981872409049527_cam0_p+0_y+30_r+0.jpg

82 0.8464052916273547 -0.47594629421643686 -0.11362509646032351 0.210148863383164 1.6176972714793587 -0.029104057660011173 0.8176979788806805 82 000101_9223372204054786721_1768981872409049527_cam0_p+30_y+0_r+0.jpg

83 0.8144917144408232 -0.49897013556311093 0.29379713772189053 -0.036266965544468815 1.6140696142825022 -0.026338365036452482 0.8198609612964509 83 000101_9223372204054786721_1768981872409049527_cam0_p-30_y+0_r+0.jpg

84 0.9554074738392997 -0.27811743448364457 0.02711249188950229 0.09545765737637342 1.6299474291852967 -0.024946102396922354 0.8257982451008834 84 000104_9223372204254786429_1768981872561191319_cam0_p+0_y+30_r+0.jpg

85 0.838074424692758 -0.4677558787595515 -0.19382173224026536 0.20314731766175356 1.6326639291279137 -0.021906936557214207 0.8263303974866854 85 000104_9223372204254786429_1768981872561191319_cam0_p+30_y+0_r+0.jpg

86 0.8493474878299699 -0.48074386988072837 0.215770315070288 -0.030616133385666232 1.6238402126723748 -0.020960000681227497 0.8273522085183865 86 000104_9223372204254786429_1768981872561191319_cam0_p-30_y+0_r+0.jpg

87 0.9554106206250494 -0.26998689725352726 -0.05462666347656264 0.10636516791548593 1.6426345579814443 -0.021664228562529836 0.8350741326762432 87 000107_9223372204354786137_1768981872706909564_cam0_p+0_y+30_r+0.jpg

